Unnamed: 0,Mois,Demande totale de chaleur (MWh),Chauffage des locaux (MWh),Eau chaude sanitaire (MWh),Chaleur (centre énergétique) (MWh),Demande totale de froid (MWh),Refroidissement des locaux (MWh),Refroidissement de procédé (MWh),Refroidissement (centre énergétique) (MWh),Charges électriques (MWh),E-mobilité (MWh),Puissance de fonctionnement (MWh),Travail de pompe (MWh),Température de l'air (°C)
,"Jeu, 05.04. 02:00",2299.1,2267.2,31.9,0,0,0,0,0,0,0,532.3,0,5.5
,"Jeu, 05.04. 03:00",2737.2,2703.2,34,0,0,0,0,0,0,0,653.8,0,4.400000095367432
,"Jeu, 05.04. 04:00",3048.7,2936.8,111.9,0,0,0,0,0,0,0,734.4,0,4.5
,"Jeu, 05.04. 05:00",4313.9,3993.6,320.3,0,0,0,0,0,0,0,1067.1,0,4
,"Jeu, 05.04. 06:00",5752.7,4866.8,885.9,0,0,0,0,0,0,0,1443.9,0,4.800000190734863
,"Jeu, 05.04. 07:00",5098.1,4227.2,870.9,0,0,0,0,0,0,0,1256.1,0,6.199999809265137
,"Jeu, 05.04. 08:00",4692.8,3862.6,830.2,0,0,0,0,0,0,0,1125.8,0,7.5
,"Jeu, 05.04. 09:00",3603.4,2978.1,625.3,0,0,0,0,0,0,0,818.8,0,9.199999809265137
,"Jeu, 05.04. 10:00",3442,2849.2,592.8,0,0,0,0,0,0,0,757.8,0,10.10000038146973
,"Jeu, 05.04. 11:00",3180.2,2620.3,559.9,0,0,0,0,0,0,0,681.2,0,11
,"Jeu, 05.04. 12:00",2898.1,2338.4,559.7,0,0,0,0,0,0,0,604.9,0,12.10000038146973
,"Jeu, 05.04. 13:00",2775.1,2260.6,514.5,0,0,0,0,0,0,0,578.3,0,12
,"Jeu, 05.04. 14:00",2427.6,1956.4,471.2,0,0,0,0,0,0,0,493.6,0,13
,"Jeu, 05.04. 15:00",2476.4,2012.5,463.9,0,0,0,0,0,0,0,496.6,0,13.19999980926514
,"Jeu, 05.04. 16:00",2799.7,2287.5,512.2,0,0,0,0,0,0,0,570.1,0,12.60000038146973
,"Jeu, 05.04. 17:00",3295,2654.6,640.4,0,0,0,0,0,0,0,703.1,0,11.30000019073486
,"Jeu, 05.04. 18:00",4483,3700.4,782.6,0,0,0,0,0,0,0,1028.5,0,8.600000381469727
,"Jeu, 05.04. 19:00",4990.4,4014.6,975.8,0,0,0,0,0,0,0,1191.1,0,7.599999904632568
,"Jeu, 05.04. 20:00",4698.7,3786.5,912.2,0,0,0,0,0,0,0,1142.1,0,6.800000190734863
,"Jeu, 05.04. 21:00",4700.3,3814.4,885.9,0,0,0,0,0,0,0,1154.4,0,6.199999809265137
,"Jeu, 05.04. 22:00",3282.3,2762.4,519.9,0,0,0,0,0,0,0,824.8,0,5.199999809265137
,"Jeu, 05.04. 23:00",2986.5,2689.6,296.9,0,0,0,0,0,0,0,760.6,0,3.799999952316284
,"Ven, 06.04. 00:00",3234.6,3018.2,216.4,0,0,0,0,0,0,0,832.9,0,2.799999952316284
,"Ven, 06.04. 01:00",3196.6,3080.4,116.2,0,0,0,0,0,0,0,810.8,0,2.799999952316284
,"Ven, 06.04. 02:00",3275.1,3240.3,34.8,0,0,0,0,0,0,0,843.3,0,1.799999952316284
