scenario,saison,heure,bord,P_ac,Q_ac,Ppv,Ppv_max,Php,Php_min,Qpv,P_lin,Q_lin,pv0,pvmax,hp0,hpmin_n,invmax,invactive,vmin_lin,vmax_lin,line_idx,lineutil,vmin_ac,vmax_ac,line_ac,BP,BQ,BPmax,Butil
avec,Été,0,depart,9.049765960768127,3.7495664850039248,0.0,0.0,-0.12885553478643566,-0.12885553478643566,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,
avec,Été,0,gauche,8.91524874632887,2.9743204875794618,0.0,0.0,-6.282982900708643e-09,-0.12885553478643566,0.7665919149176537,8.900470144222837,2.9532478954616654,0.0,0.0,41.0,0.0,0.2888739062624615,0.0,0.9032741694014763,1.0,24.0,0.40392393025639545,0.9849118816749786,1.0,40.53934633869472,0.0,0.622876394898277,0.0,0.07305340433992137
avec,Été,0,bas,9.05094606550847,1.2436042308836477,0.0,0.0,-0.12614344461683227,-0.12885553478643566,2.502166275430713,9.026613608654618,1.2126073812861846,0.0,0.0,0.0,37.0,0.31224987348121613,0.0,0.999619388078359,1.0999999996715868,21.0,0.39259413092962486,0.9904518285509006,1.0,39.422864230011626,0.0,1.7868476872949013,0.0,0.20956855591730322
avec,Été,0,droite,9.047348868167319,2.9475164836976546,0.0,0.0,-0.1288555281772072,-0.12885553478643566,0.7952898082048832,9.029326280536974,2.923920165246326,0.0,0.0,0.0,41.0,0.23350359488011205,0.0,0.9416901199226748,1.0,24.0,0.4089141921005079,0.9861417457636668,1.0,41.05527695089934,0.0,0.940496824139148,0.0,0.11030518307804822
avec,Été,0,haut,8.922534574048768,3.8176353679536987,0.0,0.0,-0.0030344587439810567,-0.12885553478643566,-0.07287484302010239,8.903504713196442,3.7936978044656757,0.0,0.0,40.0,0.0,0.3122498995522614,0.0,0.9000000000067802,1.0,24.0,0.4167543921183024,0.9843027634901967,1.0,41.85198450132291,0.0,0.7998200077044353,0.0,0.09380605028632265
avec,Hiver,7,depart,12.251336627457931,3.791740359468349,0.7560656420057773,0.7560656420057773,-4.04318086149333,-4.04318086149333,0.0,,,,,,,,,,,,,,,,0.6925904362676601,0.0,0.6925904362676601,
avec,Hiver,7,gauche,8.146715045531892,3.282474951424774,0.7560656419925051,0.7560656420057773,-5.649737997710064e-09,-4.04318086149333,0.44197830665816196,8.144404534968531,3.2769473189477405,0.0,42.0,41.0,0.0,0.3008183673506282,0.0,0.9385172212699511,1.0006870745266137,24.0,0.3769101607630705,0.9853347076715988,1.0,37.76475394401093,0.6925904362673764,0.1414728874634137,0.6925904362676601,0.0829070690511331
avec,Hiver,7,bas,12.9581460336085,0.4544689716785797,0.0009744749033977027,0.7560656420057773,-3.9532049563169394,-4.04318086149333,3.3780118265695322,12.852700633306082,0.3403754616688954,41.0,0.0,0.0,40.0,0.31234128674212824,0.0,0.9543959176866108,1.0999999999192571,21.0,0.5585967632314813,0.9885103860587542,1.0,56.373380040028096,5.965883139117452e-10,2.5053170074817106,0.6925904362676601,0.29383347618612654
avec,Hiver,7,droite,13.031204031933157,2.422131972160969,7.73172317796616e-09,0.7560656420057773,-4.043180858925317,-4.04318086149333,1.3947738419807592,12.943650862501777,2.3289916489643865,42.0,0.0,0.0,41.0,0.24631955119892182,0.0,0.9227827329712055,1.0,21.0,0.5669134649627223,0.9839019633874656,1.0,57.19663418151555,5.47810536606849e-11,1.5650189578293054,0.6925904362676601,0.18355160616516544
avec,Hiver,7,haut,8.25862722806778,4.476282310628449,0.7549575078104721,0.7560656420057773,-0.10400003069487115,-4.04318086149333,-0.7438133203525038,8.24951288538129,4.464827359394003,0.0,41.0,40.0,0.0,0.32362716278226095,0.0,0.9000000001311875,1.0,24.0,0.3993105373708594,0.9833280367581589,1.0,40.04829129300062,0.6925904352984545,0.12888147710661668,0.6925904362676601,0.08262418719294175
avec,Hiver,12,depart,5.439598038639815,3.7642365426818287,6.3252927011747815,6.3252927011747815,-2.7953488659344856,-2.7953488659344856,0.0,,,,,,,,,,,,,,,,4.862894736842104,0.0,4.862894736842104,
avec,Hiver,12,gauche,2.74963963889968,7.379531798921562,6.308687789212324,6.3252927011747815,-2.0790939031126686e-10,-2.7953488659344856,-3.501054832988368,2.591782403138633,7.216846884977809,0.0,41.0,41.0,0.0,0.6502208487516807,0.0,0.968597109485302,1.0999999999991716,75.0,0.7594042043308044,0.9836440507944072,1.0,76.35279496602577,4.846289825067913,-2.6623412519480913,4.862894736842104,0.6485132877929133
avec,Hiver,12,bas,11.681638354330062,0.644374496173441,0.03225032697178657,6.3252927011747815,-2.736811862161026,-2.7953488659344856,3.157358288385389,11.605029240307392,0.5596587691605877,41.0,0.0,0.0,40.0,0.4001327543229743,0.0,0.9713672453921177,1.0999999999740764,21.0,0.5050240576928466,0.9893367551167295,1.0,50.89263320699351,2.8884550622052327e-10,2.2846634525735383,4.862894736842104,0.2679543555487483
