scenario,scenario_key,sample_id,alpha,cos_phi,area_MW_MVAr,P_min_MW,P_max_MW,Q_min_MVAr,Q_max_MVAr,P_span_MW,Q_span_MVAr,n_valid,n_rejected
With BelalpSolar,with_belalp,24,0.6824955039749755,0.913975248360931,58.88711827319065,6.549823682580609,15.755593801084615,-1.3338122833874877,6.674251643361458,9.205770118504006,8.008063926748946,18,0
Without BelalpSolar,without_belalp,25,0.19990820247510832,0.9007362269751006,10.496690180992061,8.62908064243311,15.036737426336913,2.8875243294887696,4.670400495689137,6.407656783903803,1.7828761662003672,18,0
With BelalpSolar,with_belalp,25,0.19990820247510832,0.9007362269751006,32.01428229881216,7.2396274198254105,15.762498733249231,0.07836741260507551,5.1376071682525435,8.52287131342382,5.059239755647468,18,0
Without BelalpSolar,without_belalp,26,0.7869243775021384,0.9664850856592032,26.767265200822408,7.786940903570212,15.55470520626477,1.8743826135541894,5.654383257737209,7.767764302694559,3.780000644183019,18,0
With BelalpSolar,with_belalp,26,0.7869243775021384,0.9664850856592032,46.962569451252875,6.402289831115922,15.741236396122986,-0.19542775394984346,6.0557237424063715,9.338946565007063,6.251151496356215,18,0
Without BelalpSolar,without_belalp,27,0.7051653786263351,0.9780729031021969,18.591031243453642,7.905356122064404,15.297226238191797,2.399270855632494,5.1399285116713145,7.391870116127393,2.7406576560388203,18,0
With BelalpSolar,with_belalp,27,0.7051653786263351,0.9780729031021969,35.87667428859362,6.519547649866581,15.73154736115248,0.7036098014841627,5.631679729149255,9.211999711285898,4.928069927665092,18,0
Without BelalpSolar,without_belalp,28,0.45891577553833995,0.9568741195952893,16.321172567243195,8.257404324765957,15.244763834496553,2.5003689983286677,5.044986190196141,6.987359509730595,2.5446171918674736,18,0
With BelalpSolar,with_belalp,28,0.45891577553833995,0.9568741195952893,37.21950791839188,6.8699933706266165,15.747819520875055,0.13544092611482483,5.496030543798042,8.877826150248438,5.3605896176832175,18,0
Without BelalpSolar,without_belalp,29,0.13979699812765745,0.9114530073535974,6.687796954503085,8.71636980871699,14.874829339361895,3.1852344771023127,4.380489376845617,6.158459530644905,1.1952548997433041,18,0
With BelalpSolar,with_belalp,29,0.13979699812765745,0.9114530073535974,28.060036073144488,7.326107626155135,15.765030552112876,0.3062556205177316,4.894633113921373,8.43892292595774,4.588377493403641,18,0
