saison,heure,bus,load_mode,alpha,P_pv_available,Q_pv_max,S_inv_max,P_hp_max,P_load,Q_load
Été,12,14,fixed,1.0,0.04228551863540658,0.02540589940550759,0.08136399535123379,-0.00861430863133563,-0.2576526519455737,-0.1247868747073349
Été,12,15,fixed,1.0,0.016449918832953884,0.009883346276536788,0.03165203985356435,-0.003351119115192321,-0.1002314595362871,-0.04854431145358464
Été,12,16,fixed,1.0,0.05445488583231441,0.032719367579428116,0.1047858384832769,-0.011094066226610707,-0.3318218218637102,-0.1607086431961631
Été,12,17,fixed,1.0,0.053883183649685605,0.0323749574029464,0.10368284316904287,-0.010977288012675756,-0.3283290033686358,-0.1590169939908121
Été,12,18,fixed,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Été,12,19,fixed,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Été,12,20,fixed,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Été,12,21,fixed,1.0,0.06698149685764516,0.04024501879847234,0.12888721120100796,-0.013645768145047038,-0.4081428354698586,-0.1976725971492513
Été,12,22,fixed,1.0,0.041949989042703265,0.02520532488576868,0.08072164280031112,-0.008546300379038198,-0.2556185355343185,-0.1238017071655505
Été,12,23,fixed,1.0,0.0594073760180874,0.035693309601010276,0.1143100753920633,-0.01210243259131627,-0.3619819054082004,-0.1753158383405161
Été,12,24,fixed,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Été,12,25,fixed,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Été,12,26,fixed,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Été,12,27,fixed,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Été,12,28,fixed,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Été,12,29,fixed,1.0,0.06564340172868306,0.039438269817988855,0.12630354670442887,-0.013372225980883641,-0.3999612312306914,-0.1937100653631875
Été,12,30,fixed,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Été,12,31,fixed,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Été,12,32,fixed,1.0,0.05154651982648385,0.03096887622343089,0.09917977950152491,-0.010500531923559174,-0.3140693017548289,-0.1521107052908534
Été,12,33,fixed,1.0,0.06472980073744011,0.03888960929842265,0.12454642678315134,-0.013186193163311056,-0.3943970181466459,-0.1910151939705562
Été,12,34,fixed,1.0,0.01837498991829176,0.011042116083812966,0.03536307325204857,-0.0037440200156180843,-0.1119830652981538,-0.05423587389139652
Été,12,35,fixed,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Été,12,36,fixed,1.0,0.01656447079749796,0.009798881566513724,0.03138153629201084,-0.0033224798976239324,-0.099374864924701,-0.04812944374830847
Été,12,37,fixed,1.0,0.044602969073106874,0.02638398772600381,0.08449638489162135,-0.00894594635558926,-0.2675718854901343,-0.1295909787760147
Été,12,38,fixed,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Été,12,39,fixed,1.0,0.024500073933309562,0.01449337438298186,0.04641594564705656,-0.004914228701442225,-0.1469838278823458,-0.07118751689710238
Été,12,40,fixed,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Été,12,41,fixed,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Été,12,42,fixed,1.0,0.034513330105319595,0.02041789455374394,0.06538959518955918,-0.0069230395067174,-0.2070670514336041,-0.100287150192891
Été,12,43,fixed,1.0,0.0619458099476352,0.03664474447366771,0.11735710558455155,-0.012425033004112906,-0.3716308343510799,-0.1799890279155623
Été,12,44,fixed,1.0,0.04785810790766864,0.028309864959171635,0.09066412820766961,-0.009598948266986809,-0.2871030726576204,-0.1390503644549536
Été,12,45,fixed,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Été,12,46,fixed,1.0,0.04801967849250712,0.02840510863042345,0.09096915207245306,-0.009631242277375858,-0.288068981562768,-0.1395181754889763
Été,12,47,fixed,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Été,12,48,fixed,1.0,0.016978749217417717,0.010043607678658535,0.03216528710252375,-0.0034054585092650235,-0.1018567424913252,-0.04933147191532575
Été,12,49,fixed,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Été,12,50,fixed,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Été,12,51,fixed,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Été,12,52,fixed,1.0,0.036793668678310236,0.021764479059329652,0.06970211700599871,-0.00737962222178456,-0.2207233705189959,-0.1069012073966653
Été,12,53,fixed,1.0,0.061012991518918126,0.036090635982057966,0.11558253818916775,-0.012237152957601529,-0.3660113709323645,-0.1772673975645508
Été,12,54,fixed,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Été,12,55,fixed,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Été,12,56,fixed,1.0,0.062283920840076605,0.03684217065580832,0.1179893753857308,-0.012491973758215747,-0.3736330220548142,-0.1809587316785154
Été,12,57,fixed,1.0,0.05261642809763046,0.031123895232209414,0.09967623765513291,-0.010553093793699161,-0.3156414192412542,-0.1528721165409313
Été,12,58,fixed,1.0,0.010147043241384159,0.006001658767185308,0.01922069076314997,-0.002034965977598408,-0.0608655207499749,-0.02947851712167983
Été,12,59,fixed,1.0,0.0214329250584009,0.012877187477421144,0.04124000513922868,-0.004366232640046927,-0.1305933496075575,-0.0632492459597578
Été,12,60,fixed,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Été,12,61,fixed,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Été,12,62,fixed,1.0,0.036053886715786895,0.021661118200374883,0.069371097335596,-0.007344575938823869,-0.2196751415627207,-0.1063935269422101
Été,12,63,fixed,1.0,0.03211949345222556,0.018996499385999854,0.06083748750879253,-0.006441090945613425,-0.192652043777843,-0.09330564334379901
Été,12,64,fixed,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Été,12,65,fixed,1.0,0.01411314591476142,0.0083469317505068,0.026731575422914346,-0.002830171255734906,-0.08464998883922877,-0.040997860769116
Été,12,66,fixed,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Été,12,67,fixed,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Été,12,68,fixed,1.0,0.018340205734318007,0.010847069946244943,0.03473842569373695,-0.003677886256700789,-0.1100050146968337,-0.05327786026068942
Été,12,69,fixed,1.0,0.011258632483526747,0.006764152988580986,0.02166262660233271,-0.002293502801974261,-0.06859831757405357,-0.03322368155580108
Été,12,70,fixed,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Été,12,71,fixed,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Été,12,72,fixed,1.0,0.012819761442079402,0.0077023229957975,0.024667175226550424,-0.002611605533227045,-0.078112721550743,-0.03783171771606893
Été,12,73,fixed,1.0,0.01412892349855792,0.008488886093932859,0.027186193161662913,-0.00287830332562595,-0.08608961167859923,-0.04169510193285255
Été,12,74,fixed,1.0,0.030108323060597856,0.018090693680462185,0.05793658760211531,-0.006133961889366174,-0.1834658607400318,-0.08885657183950055
Été,12,75,fixed,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Été,18,0,fixed,1.0,0.001322255773502031,0.0357561043406299,0.11451117950654252,-0.013021026100816692,-0.3626187351040513,-0.1756242690392338
Été,18,1,fixed,1.0,0.0002527202070994224,0.006834114836666951,0.02188668383374866,-0.0024887271503764535,-0.06930783214020408,-0.03356731514389221
Été,18,2,fixed,1.0,0.0004274462308163449,0.011559093993422198,0.037018727616523354,-0.004209386547155725,-0.1172259707856573,-0.05677512891257016
Été,18,3,fixed,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Été,18,4,fixed,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Été,18,5,fixed,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Été,18,6,fixed,1.0,0.00025717474406915204,0.006954575394786602,0.02227246636930926,-0.002532594347329803,-0.070529476836146,-0.03415898467439479
Été,18,7,fixed,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Été,18,8,fixed,1.0,0.0005439147842389918,0.014707763517958288,0.04710254037464946,-0.0053560133628528465,-0.1491580445197233,-0.0722405380752905
Été,18,9,fixed,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Été,18,10,fixed,1.0,0.0009825451058089654,0.02656880744806888,0.08508828170924233,-0.00967535870108112,-0.2694462254126007,-0.1304987630324452
Été,18,11,fixed,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Été,18,12,fixed,1.0,0.00038644261281268154,0.010449535713498345,0.03346529723845626,-0.003805327223868403,-0.1059734412551115,-0.05132528012558613
Été,18,13,fixed,1.0,0.0006621245257107528,0.017903596838709707,0.05733739816506357,-0.006519815456250331,-0.1815684275227013,-0.08793760298989377
Été,18,14,fixed,1.0,0.0009394820377935774,0.02540589940550759,0.08136399535123379,-0.009251871404176855,-0.2576526519455737,-0.1247868747073349
Été,18,15,fixed,1.0,0.0003654783944280106,0.009883346276536788,0.03165203985356435,-0.003599142361936846,-0.1002314595362871,-0.04854431145358464
Été,18,16,fixed,1.0,0.0012096410015096318,0.032719367579428116,0.1047858384832769,-0.011915160980494098,-0.3318218218637102,-0.1607086431961631
Été,18,17,fixed,1.0,0.0011970229647449593,0.0323749574029464,0.10368284316904287,-0.011789739769765073,-0.3283290033686358,-0.1590169939908121
Été,18,18,fixed,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Été,18,19,fixed,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Été,18,20,fixed,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Été,18,21,fixed,1.0,0.0014879435874521195,0.04024501879847234,0.12888721120100796,-0.014655719627915571,-0.4081428354698586,-0.1976725971492513
Été,18,22,fixed,1.0,0.0009318942481112834,0.02520532488576868,0.08072164280031112,-0.0091788297206702,-0.2556185355343185,-0.1238017071655505
Été,18,23,fixed,1.0,0.0013197954306581677,0.035693309601010276,0.1143100753920633,-0.01299815862241939,-0.3619819054082004,-0.1753158383405161
Été,18,24,fixed,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Été,18,25,fixed,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Été,18,26,fixed,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Été,18,27,fixed,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Été,18,28,fixed,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Été,18,29,fixed,1.0,0.0014584726494397044,0.039438269817988855,0.12630354670442887,-0.014361932043238847,-0.3999612312306914,-0.1937100653631875
Été,18,30,fixed,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Été,18,31,fixed,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Été,18,32,fixed,1.0,0.0011452347360559564,0.03096887622343089,0.09917977950152491,-0.011277697977853909,-0.3140693017548289,-0.1521107052908534
