Country,ISO3 Code,Datetime (UTC),Datetime (Local),Price (EUR/MWhe)
Switzerland,CHE,2024-01-10 02:00:00,2024-01-10 03:00:00,89.25
Switzerland,CHE,2024-01-10 03:00:00,2024-01-10 04:00:00,89.22
Switzerland,CHE,2024-01-10 04:00:00,2024-01-10 05:00:00,92.0
Switzerland,CHE,2024-01-10 05:00:00,2024-01-10 06:00:00,104.65
Switzerland,CHE,2024-01-10 06:00:00,2024-01-10 07:00:00,123.28
Switzerland,CHE,2024-01-10 07:00:00,2024-01-10 08:00:00,137.62
Switzerland,CHE,2024-01-10 08:00:00,2024-01-10 09:00:00,126.06
Switzerland,CHE,2024-01-10 09:00:00,2024-01-10 10:00:00,114.85
Switzerland,CHE,2024-01-10 10:00:00,2024-01-10 11:00:00,108.61
Switzerland,CHE,2024-01-10 11:00:00,2024-01-10 12:00:00,104.07
Switzerland,CHE,2024-01-10 12:00:00,2024-01-10 13:00:00,103.84
Switzerland,CHE,2024-01-10 13:00:00,2024-01-10 14:00:00,108.57
Switzerland,CHE,2024-01-10 14:00:00,2024-01-10 15:00:00,117.74
Switzerland,CHE,2024-01-10 15:00:00,2024-01-10 16:00:00,125.06
Switzerland,CHE,2024-01-10 16:00:00,2024-01-10 17:00:00,137.26
Switzerland,CHE,2024-01-10 17:00:00,2024-01-10 18:00:00,138.1
Switzerland,CHE,2024-01-10 18:00:00,2024-01-10 19:00:00,128.47
Switzerland,CHE,2024-01-10 19:00:00,2024-01-10 20:00:00,116.27
Switzerland,CHE,2024-01-10 20:00:00,2024-01-10 21:00:00,105.72
Switzerland,CHE,2024-01-10 21:00:00,2024-01-10 22:00:00,102.43
Switzerland,CHE,2024-01-10 22:00:00,2024-01-10 23:00:00,97.53
Switzerland,CHE,2024-01-10 23:00:00,2024-01-11 00:00:00,92.31
Switzerland,CHE,2024-01-11 00:00:00,2024-01-11 01:00:00,89.51
Switzerland,CHE,2024-01-11 01:00:00,2024-01-11 02:00:00,87.18
Switzerland,CHE,2024-01-11 02:00:00,2024-01-11 03:00:00,86.25
Switzerland,CHE,2024-01-11 03:00:00,2024-01-11 04:00:00,86.69
Switzerland,CHE,2024-01-11 04:00:00,2024-01-11 05:00:00,90.33
Switzerland,CHE,2024-01-11 05:00:00,2024-01-11 06:00:00,104.83
Switzerland,CHE,2024-01-11 06:00:00,2024-01-11 07:00:00,121.45
Switzerland,CHE,2024-01-11 07:00:00,2024-01-11 08:00:00,142.42
Switzerland,CHE,2024-01-11 08:00:00,2024-01-11 09:00:00,130.11
Switzerland,CHE,2024-01-11 09:00:00,2024-01-11 10:00:00,115.45
Switzerland,CHE,2024-01-11 10:00:00,2024-01-11 11:00:00,105.77
Switzerland,CHE,2024-01-11 11:00:00,2024-01-11 12:00:00,100.68
Switzerland,CHE,2024-01-11 12:00:00,2024-01-11 13:00:00,100.66
Switzerland,CHE,2024-01-11 13:00:00,2024-01-11 14:00:00,105.21
Switzerland,CHE,2024-01-11 14:00:00,2024-01-11 15:00:00,116.63
Switzerland,CHE,2024-01-11 15:00:00,2024-01-11 16:00:00,125.62
Switzerland,CHE,2024-01-11 16:00:00,2024-01-11 17:00:00,139.26
Switzerland,CHE,2024-01-11 17:00:00,2024-01-11 18:00:00,140.23
Switzerland,CHE,2024-01-11 18:00:00,2024-01-11 19:00:00,133.02
Switzerland,CHE,2024-01-11 19:00:00,2024-01-11 20:00:00,116.64
Switzerland,CHE,2024-01-11 20:00:00,2024-01-11 21:00:00,105.48
Switzerland,CHE,2024-01-11 21:00:00,2024-01-11 22:00:00,101.9
Switzerland,CHE,2024-01-11 22:00:00,2024-01-11 23:00:00,94.71
Switzerland,CHE,2024-01-11 23:00:00,2024-01-12 00:00:00,87.9
Switzerland,CHE,2024-01-12 00:00:00,2024-01-12 01:00:00,85.53
Switzerland,CHE,2024-01-12 01:00:00,2024-01-12 02:00:00,85.33
Switzerland,CHE,2024-01-12 02:00:00,2024-01-12 03:00:00,83.92
Switzerland,CHE,2024-01-12 03:00:00,2024-01-12 04:00:00,84.47
Switzerland,CHE,2024-01-12 04:00:00,2024-01-12 05:00:00,86.55
Switzerland,CHE,2024-01-12 05:00:00,2024-01-12 06:00:00,97.84
Switzerland,CHE,2024-01-12 06:00:00,2024-01-12 07:00:00,114.93
Switzerland,CHE,2024-01-12 07:00:00,2024-01-12 08:00:00,133.4
Switzerland,CHE,2024-01-12 08:00:00,2024-01-12 09:00:00,123.45
Switzerland,CHE,2024-01-12 09:00:00,2024-01-12 10:00:00,112.54
Switzerland,CHE,2024-01-12 10:00:00,2024-01-12 11:00:00,105.63
Switzerland,CHE,2024-01-12 11:00:00,2024-01-12 12:00:00,100.99
Switzerland,CHE,2024-01-12 12:00:00,2024-01-12 13:00:00,98.39
Switzerland,CHE,2024-01-12 13:00:00,2024-01-12 14:00:00,100.96
Switzerland,CHE,2024-01-12 14:00:00,2024-01-12 15:00:00,106.1
Switzerland,CHE,2024-01-12 15:00:00,2024-01-12 16:00:00,111.74
Switzerland,CHE,2024-01-12 16:00:00,2024-01-12 17:00:00,122.03
Switzerland,CHE,2024-01-12 17:00:00,2024-01-12 18:00:00,125.05
Switzerland,CHE,2024-01-12 18:00:00,2024-01-12 19:00:00,118.87
Switzerland,CHE,2024-01-12 19:00:00,2024-01-12 20:00:00,107.8
Switzerland,CHE,2024-01-12 20:00:00,2024-01-12 21:00:00,97.7
Switzerland,CHE,2024-01-12 21:00:00,2024-01-12 22:00:00,94.45
Switzerland,CHE,2024-01-12 22:00:00,2024-01-12 23:00:00,89.6
Switzerland,CHE,2024-01-12 23:00:00,2024-01-13 00:00:00,92.9
Switzerland,CHE,2024-01-13 00:00:00,2024-01-13 01:00:00,87.57
Switzerland,CHE,2024-01-13 01:00:00,2024-01-13 02:00:00,86.93
Switzerland,CHE,2024-01-13 02:00:00,2024-01-13 03:00:00,86.62
Switzerland,CHE,2024-01-13 03:00:00,2024-01-13 04:00:00,86.26
Switzerland,CHE,2024-01-13 04:00:00,2024-01-13 05:00:00,86.93
Switzerland,CHE,2024-01-13 05:00:00,2024-01-13 06:00:00,88.03
Switzerland,CHE,2024-01-13 06:00:00,2024-01-13 07:00:00,88.45
Switzerland,CHE,2024-01-13 07:00:00,2024-01-13 08:00:00,90.21
Switzerland,CHE,2024-01-13 08:00:00,2024-01-13 09:00:00,92.99
Switzerland,CHE,2024-01-13 09:00:00,2024-01-13 10:00:00,93.08
Switzerland,CHE,2024-01-13 10:00:00,2024-01-13 11:00:00,91.93
Switzerland,CHE,2024-01-13 11:00:00,2024-01-13 12:00:00,87.62
Switzerland,CHE,2024-01-13 12:00:00,2024-01-13 13:00:00,86.48
Switzerland,CHE,2024-01-13 13:00:00,2024-01-13 14:00:00,86.9
Switzerland,CHE,2024-01-13 14:00:00,2024-01-13 15:00:00,90.03
Switzerland,CHE,2024-01-13 15:00:00,2024-01-13 16:00:00,90.7
