Var1,osmid,longitude,latitude,el_dmd,lv_grid,consumers,label,source,voltage,grid_id,trafo,moved_from_water,cluster_area,r,g,b,size,geometry
1506,157,7.88248253603511,46.2901750393454,0.0704928484361015,-1,True,NaN,false,0.998973896335237,108_0,NaN,NaN,NaN,255,0,0,3.52464242180507,POINT (7.882483 46.290175)
1507,159,7.88201648554233,46.2906379340147,0.0760882847045308,-1,True,NaN,false,0.998872458824689,108_0,NaN,NaN,NaN,255,0,0,3.80441423522654,POINT (7.882016 46.290638)
1508,18,7.89443970804874,46.200294209857,0.17999585778894,NaN,True,2785070900,false,0.991483412421529,108_1,NaN,NaN,NaN,255,0,0,8.99979288944698,POINT (7.89444 46.200294)
1509,19,7.89231680804625,46.201260309858,0,-1,False,951425304,false,0.991531355731265,108_1,NaN,NaN,NaN,255,0,0,0,POINT (7.892317 46.20126)
1510,45,7.90295121849176,46.2245015787494,0.251982452748332,NaN,True,NaN,false,0.992467234549175,108_1,NaN,NaN,NaN,255,0,0,12.5991226374166,POINT (7.902951 46.224502)
1511,20,7.86986620801504,46.2330697098793,0.273429857739761,NaN,True,9780278501,false,0.994816579982767,108_1,NaN,NaN,NaN,255,0,0,13.6714928869881,POINT (7.869866 46.23307)
1512,21,7.86978980801501,46.2328580098793,0,-1,False,60141827,false,0.994825062162663,108_1,NaN,NaN,NaN,255,0,0,0,POINT (7.86979 46.232858)
1513,22,7.86975840801502,46.2326926098791,0,-1,False,60130386,false,0.994871393454095,108_1,NaN,NaN,NaN,255,0,0,0,POINT (7.869758 46.232693)
1514,23,7.86740730801273,46.2317765098793,0,-1,False,4226648553,false,0.994319164958698,108_1,NaN,NaN,NaN,255,0,0,0,POINT (7.867407 46.231777)
1515,28,7.86964300801502,46.2321550098789,0.305187817189364,NaN,True,60130385,false,0.995022317608773,108_1,NaN,NaN,NaN,255,0,0,15.2593908594682,POINT (7.869643 46.232155)
1516,39,7.86604530801144,46.2310835098793,0.285239381358854,NaN,True,417208527,false,0.993896905566032,108_1,NaN,NaN,NaN,255,0,0,14.2619690679427,POINT (7.866045 46.231084)
1517,24,7.87734000801915,46.2496669098855,0.119521074668659,NaN,True,9423708759,false,0.996803685279672,108_1,NaN,NaN,NaN,255,0,0,5.97605373343294,POINT (7.87734 46.249667)
